epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,853.633,0.77008,1.45587,0.57679,0.91755,0.80465,0.57508,0.58357,0.37359,0.85087,0.57809,0.582,0.31022,1.05981,2.6311,1.01941,0.96962,0.000280471,0.000280471,0.000280471
69,866.085,0.77353,1.43724,0.59095,0.9238,0.83091,0.57272,0.57406,0.3823,0.87391,0.59266,0.59953,0.30249,0.99184,2.71454,0.83232,0.95121,0.000272224,0.000272224,0.000272224
70,878.525,0.73832,1.36179,0.54288,0.91202,0.853,0.57113,0.60301,0.37584,0.89291,0.5995,0.61818,0.32454,1.01201,2.81109,0.7889,0.95364,0.000263978,0.000263978,0.000263978
71,890.718,0.79022,1.45663,0.57036,0.92834,0.84321,0.56694,0.56692,0.37676,0.87086,0.57333,0.58043,0.33858,0.96919,2.60461,0.85491,0.95703,0.000255731,0.000255731,0.000255731
72,902.998,0.77184,1.4328,0.57792,0.92539,0.7833,0.55553,0.5543,0.36098,0.84959,0.59266,0.62082,0.33792,0.97362,2.74299,0.89636,0.94789,0.000247484,0.000247484,0.000247484
73,915.392,0.76286,1.4124,0.57367,0.92052,0.78411,0.56402,0.56566,0.38086,0.83957,0.57698,0.57805,0.35809,0.93909,2.88876,0.83392,0.94848,0.000239238,0.000239238,0.000239238
74,929.29,0.73784,1.41207,0.54829,0.915,0.77814,0.55286,0.54712,0.37867,0.83287,0.57563,0.59068,0.35853,0.978,2.96409,0.88222,0.96369,0.000230991,0.000230991,0.000230991
75,942.468,0.74854,1.36379,0.58194,0.91846,0.79985,0.52793,0.53961,0.38177,0.84688,0.55395,0.54967,0.35782,0.97828,2.86466,0.94339,0.95502,0.000222744,0.000222744,0.000222744
76,954.693,0.74758,1.43838,0.57333,0.91016,0.83794,0.51575,0.54369,0.37148,0.85291,0.55261,0.55339,0.34307,0.99216,2.90022,0.99018,0.96306,0.000214497,0.000214497,0.000214497
77,967.107,0.72345,1.391,0.5536,0.90988,0.84166,0.5711,0.57155,0.37226,0.84373,0.54859,0.54353,0.32674,1.01249,2.81943,0.94314,0.96095,0.000206251,0.000206251,0.000206251
